,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.046,0.0068,0.0139,0.0088,0.0,0.0,14.4746,1
1,0.5483,0.3082,0.3435,0.3092,0.717,0.7194,3.3559,2
2,0.6027,0.379,0.3782,0.3653,0.8185,0.8213,1.5593,3
3,0.6068,0.4029,0.3741,0.3766,0.8581,0.8635,1.6271,4
