,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.0959,0.0129,0.0346,0.0183,0.0,0.0,14.4746,1
1,0.6351,0.394,0.3962,0.3842,0.9027,0.9036,0.5424,2
2,0.6302,0.4275,0.3951,0.4023,0.9428,0.9433,0.4068,3
3,0.6407,0.4395,0.4024,0.4115,0.9421,0.9429,0.4407,4
4,0.639,0.4355,0.3942,0.4061,0.955,0.9555,0.2373,5
5,0.6306,0.4379,0.3877,0.4039,0.9398,0.9402,0.2373,6
6,0.6386,0.4073,0.3924,0.3916,0.9458,0.9462,0.6102,7
7,0.6351,0.4297,0.3847,0.3989,0.96,0.9599,0.2373,8
8,0.6403,0.395,0.3866,0.3815,0.9497,0.9495,0.5424,9
9,0.6386,0.3823,0.3843,0.3743,0.9402,0.9406,0.2373,10
