,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.063,0.0075,0.0218,0.0108,0.0,0.0,12.0,1
1,0.5568,0.1852,0.562,0.275,0.8077,0.8136,2.0847,2
2,0.5711,0.2145,0.5804,0.3036,0.8673,0.8701,2.6102,3
3,0.6219,0.3188,0.5616,0.3754,0.8372,0.8418,4.8814,4
4,0.6033,0.2872,0.5696,0.3573,0.8131,0.8192,5.6271,5
5,0.5732,0.2213,0.5714,0.3062,0.8247,0.8305,10.2881,6
6,0.5726,0.2027,0.5879,0.2963,0.8365,0.8418,7.4068,7
7,0.5827,0.207,0.5702,0.2956,0.8175,0.8249,6.0339,8
8,0.5649,0.1975,0.5554,0.2837,0.8037,0.8107,4.4915,9
9,0.5836,0.2051,0.5857,0.2976,0.7845,0.791,5.2881,10
