,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,epoch
0,0.483,0.2423,0.4927,0.2995,1
1,0.4681,0.2311,0.487,0.2858,2
2,0.4215,0.1952,0.4174,0.2442,3
3,0.4049,0.1879,0.3971,0.2327,4
4,0.4645,0.2275,0.4758,0.2825,5
5,0.4185,0.1932,0.4137,0.2416,6
6,0.476,0.2346,0.4894,0.2915,7
