,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.063,0.0074,0.0214,0.0106,0.0,0.0,12.0,1
1,0.5586,0.192,0.5678,0.2836,0.8277,0.8362,1.9153,2
2,0.5842,0.1959,0.5929,0.2914,0.8339,0.839,13.0169,3
3,0.5641,0.1906,0.5841,0.284,0.8073,0.8107,16.0508,4
