,meteor_score,rouge2_precision,rouge2_recall,rouge2_f_measure,node stance f1,node stance acc,graph edit distance,epoch
0,0.083,0.0106,0.0348,0.0162,0.0,0.0,14.4746,1
1,0.4835,0.1714,0.3896,0.2195,0.9018,0.9037,25.4576,2
2,0.5348,0.2458,0.4008,0.2716,0.9233,0.9242,2.3051,3
3,0.4982,0.1839,0.393,0.2249,0.9403,0.9409,8.7458,4
4,0.482,0.1283,0.3935,0.1894,0.9342,0.936,10.5085,5
5,0.5151,0.1862,0.3937,0.2266,0.9408,0.9416,2.5424,6
